id;title;link;price;description;condition;ean;brand;mpn;image_link;product_type;availability;quantity;shipping;TVA;feature;online_only;manufacturer;expiration_date;shipping_weight;genre;featured_product;color;size;year;author;edition;google_product_category
10-43; fantomette fluide nettoyant démaquillant  [les douces angevines] vol;http://www.lilibio.com/demaquillant/10-fantomette.html;27.9;Fluide nettoyant démaquillant visage et yeux. Riche en macérât de millepertiuis à l'action antiinflammatoire et adoucissante, il nettoie en douceur tout en apaisant les zones sensibles. La présence de l'huile de ricin reforce les cils. S'utilise avec un coton imbibé d'eau florale de votre choix.;new;3555960000869;Les douces angevines;;http://www.lilibio.com/img/p/10-50-large.jpg;Visage>Démaquillant;in stock;2;:::5.9;;;y;Les douces angevines;;0;;n;;;;;;
39-72; eau démaquillante yeux sensibles pétale d'iris   [cattier] volume -;http://www.lilibio.com/demaquillant/39-petale-d-iris.html;7.9;Pour démaquiller, apaiser et rafraîchir vos yeux en douceur… Riche en eaux florales de camomille et de bleuet il decongestionne les yeux les plus fatigués et sensibles.;new;3283950911504;Cattier;;http://www.lilibio.com/img/p/39-87-large.jpg;Visage>Démaquillant;in stock;4;:::5.9;;;y;Cattier;;0;;n;;;;;;
40-73; caresse d'herboriste   [cattier] volume - 200 ml;http://www.lilibio.com/demaquillant/40-caresse-d-herboriste.html;10.9;Pour un démaquillage tout en douceur et efficace du visage et des yeux… Protecteur et nourrissant avec son eau de bleuet et son huile de tournesol.;new;3283950911481;Cattier;;http://www.lilibio.com/img/p/40-81-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Cattier;;0;;n;;;;;;
157-210; crème moussante   [tamalys] volume - 100 ml;http://www.lilibio.com/demaquillant/157-creme-moussante.html;14.9;Une véritable caresse pour votre peau, nettoie et démaquille tout en douceur. Une texture toute douce riche en polyphénols de fraise, pour luttre contre les agressions quotidiennes.;new;3770000398007;Tamalys;;http://www.lilibio.com/img/p/157-250-large.jpg;Visage>Démaquillant;in stock;7;:::5.9;;;y;Tamalys;;0;;n;;;;;;
165-218; soin démaquillant douceur lift'argan [natessance] volume - 200 ml;http://www.lilibio.com/demaquillant/165-soin-demaquillant-douceur.html;11.9;Le soin démaquillant douceur Lift'Argan fait de votre démaquillage une caresse.;new;3517360000177;Natessance;;http://www.lilibio.com/img/p/165-262-large.jpg;Visage>Démaquillant;in stock;4;:::5.9;;;y;Natessance;;0;;n;;;;;;
228-283; lait démaquillant visage et yeux dermastress  [florame] volume - 150;http://www.lilibio.com/demaquillant/228-lait-demaquillant-visage-et-yeux.html;17.9;Comme une caresse sur votre peau, il démaquille parfaitement.   Le   complexe derma-stress riche en huiles essentielles et végétales,   protège nourrit et combat contre les agressions exterieures et les   signes de l'âge.;new;3516170016859;Florame;;http://www.lilibio.com/img/p/228-331-large.jpg;Visage>Démaquillant;in stock;6;:::5.9;;;y;Florame;;0;;n;;;;;;
414-459; lait de toilette démaquillant visage et yeux au lait d'ânesse   [le;http://www.lilibio.com/demaquillant/414-lait-de-toilette-demaquillant-au-lait-d-anesse.html;16.9;Ce soin onctueux sans rincage nettoie et démaquille toutes les peaux. L'action hydratante et protectrice du lait d'anesse réconforte les peaux sèches et réactives. A base de 5% de lait cru.;new;3760160050044;Les ânes d'autan;;http://www.lilibio.com/img/p/414-534-large.jpg;Visage>Démaquillant;in stock;3;:::5.9;;;y;Les ânes d'autan;;0;;n;;;;;;
429-520; eau micellaire pureté   [plante system] volume - 400 ml;http://www.lilibio.com/demaquillant/429-eau-micellaire-purete.html;12.9;Une combinaison de douceur et d’efficacité. Aux extraits de mélisse et de thé verte cette eau vous rafraîchit, tonifie et vivifie... Compatible visage et yeux.;new;3578830149574;Plante system;;http://www.lilibio.com/img/p/429-601-large.jpg;Visage>Démaquillant;in stock;1;:::5.9;;;y;Plante system;;0.2;;n;;;;;;
458-499; lait démaquillant douceur hydra continu lift argan   [natessance] vo;http://www.lilibio.com/demaquillant/458-lait-demaquillant-douceur-lift-argan.html;9.9;Le lait démaquillant douceur Hydra continu Lift'Argan a une texture fluide est fondante,  parfaite pour toutes les peaux. L'huile d'Argan pour protéger votre peau et de l'extrait de Mauve, Aloé Vera et de Bleuet  pour adoucir.  ;new;3517360001969;Natessance;;http://www.lilibio.com/img/p/458-578-large.jpg;Visage>Démaquillant;in stock;2;:::5.9;;;y;Natessance;;0;;n;;;;;;
459-500; eau démaquillante micellaire hydra continu lift argan [natessance] v;http://www.lilibio.com/demaquillant/459-eau-demaquillante-micellaire-lift-argan.html;12.9;L'eau micellaire Hydra continu est rafraîchissante et démaquille tout en douceur. L'huile d'Argan pour protéger votre peau et de l'extrait de Mauve, Aloé Vera et de Bleuet  pour adoucir.  ;new;3517360001983;Natessance;;http://www.lilibio.com/img/p/459-579-large.jpg;Visage>Démaquillant;in stock;1;:::5.9;;;y;Natessance;;0;;n;;;;;;
