categorie;identifiant_unique;titre;description;prix;URL_produit;URL_image;frais_de_port;disponibilite;delai_de_livraison;garantie;reference_modele;D3E;marque;EAN;prix_barre;devise;occasion;type_promotion;URL_mobile
Visage>Démaquillant;10-43; Fantomette Fluide nettoyant démaquillant  [Les douces angevines] Volume - 100 mL;Fluide nettoyant démaquillant visage et yeux. Riche en macérât de millepertiuis à l'action antiinflammatoire et adoucissante, il nettoie en douceur tout en apaisant les zones sensibles. La présence de l'huile de ricin reforce les cils. S'utilise avec un coton imbibé d'eau florale de votre choix.;27.9;http://www.lilibio.com/demaquillant/10-fantomette.html;http://www.lilibio.com/img/p/10-50-large.jpg;5.9;0;1 jour;0;;0.00;Les douces angevines;3555960000869;;EUR;0;0;
Visage>Démaquillant;40-73; Caresse d'herboriste   [Cattier] Volume - 200 mL;Pour un démaquillage tout en douceur et efficace du visage et des yeux… Protecteur et nourrissant avec son eau de bleuet et son huile de tournesol.;10.9;http://www.lilibio.com/demaquillant/40-caresse-d-herboriste.html;http://www.lilibio.com/img/p/40-81-large.jpg;5.9;0;1 jour;0;;0.00;Cattier;3283950911481;;EUR;0;0;
Visage>Démaquillant;157-210; Crème moussante   [Tamalys] Volume - 100 mL;Une véritable caresse pour votre peau, nettoie et démaquille tout en douceur. Une texture toute douce riche en polyphénols de fraise, pour luttre contre les agressions quotidiennes.;14.9;http://www.lilibio.com/demaquillant/157-creme-moussante.html;http://www.lilibio.com/img/p/157-250-large.jpg;5.9;0;1 jour;0;;0.00;Tamalys;3770000398007;;EUR;0;0;
Visage>Démaquillant;165-218; Soin démaquillant douceur   [Natessance] Volume - 200 mL;Faite de votre démaquillage une caresse.;11.9;http://www.lilibio.com/demaquillant/165-soin-demaquillant-douceur.html;http://www.lilibio.com/img/p/165-262-large.jpg;5.9;0;1 jour;0;;0.00;Natessance;3517360000177;;EUR;0;0;
Visage>Démaquillant;228-283; Lait démaquillant visage et yeux Dermastress  [Florame] Volume - 150 mL;Comme une caresse sur votre peau, il démaquille parfaitement.   Le   complexe derma-stress riche en huiles essentielles et végétales,   protège nourrit et combat contre les agressions exterieures et les   signes de l'âge.;17.9;http://www.lilibio.com/demaquillant/228-lait-demaquillant-visage-et-yeux.html;http://www.lilibio.com/img/p/228-331-large.jpg;5.9;0;1 jour;0;;0.00;Florame;3516170016859;;EUR;0;0;
Visage>Démaquillant;414-459; Lait de toilette démaquillant visage et yeux au lait d'ânesse   [Les ânes d'autan] Volume - 200 mL;Ce soin onctueux sans rincage nettoie et démaquille toutes les peaux. L'action hydratante et protectrice du lait d'anesse réconforte les peaux sèches et réactives. A base de 5% de lait cru.;16.9;http://www.lilibio.com/demaquillant/414-lait-de-toilette-demaquillant-au-lait-d-anesse.html;http://www.lilibio.com/img/p/414-534-large.jpg;5.9;0;1 jour;0;;0.00;Les ânes d'autan;3760160050044;;EUR;0;0;
Visage>Démaquillant;429-520; Eau micellaire pureté   [Plante system] Volume - 400 mL;Une combinaison de douceur et d’efficacité. Aux extraits de mélisse et de thé verte cette eau vous rafraîchit, tonifie et vivifie... Compatible visage et yeux.;12.9;http://www.lilibio.com/demaquillant/429-eau-micellaire-purete.html;http://www.lilibio.com/img/p/429-601-large.jpg;5.9;0;1 jour;0;;0.00;Plante system;3578830149574;;EUR;0;0;
Visage>Démaquillant;458-499; Lait démaquillant douceur Lift Argan   [Natessance] Volume - 200 mL;Sa texture fluide est fondante est parfaite pour toutes les peaux.;9.9;http://www.lilibio.com/demaquillant/458-lait-demaquillant-douceur-lift-argan.html;http://www.lilibio.com/img/p/458-578-large.jpg;5.9;0;1 jour;0;;0.00;Natessance;3517360001969;;EUR;0;0;
Visage>Démaquillant;459-500; Eau démaquillante micellaire Lift Argan   [Natessance] Volume - 500 mL;Une eau rafraîchissante qui démaquille tout en douceur. L'huile d'Argan pour protéger votre peau et de l'extrait de guimauve pour adoucir.;12.9;http://www.lilibio.com/demaquillant/459-eau-demaquillante-micellaire-lift-argan.html;http://www.lilibio.com/img/p/459-579-large.jpg;5.9;0;1 jour;0;;0.00;Natessance;3517360001983;;EUR;0;0;
Visage>Démaquillant;466-507; Lait démaquillant doux à l'Hamamélis [Weleda] Volume - 200 mL;Texture ultra fondante pour un demaquillage en douceur. Une action astringente avec l'eau d'hamamélis, idéale pour les peaux normales à mixtes. Tolérance cutanée testée sous contrôle dermatologique.;12.9;http://www.lilibio.com/demaquillant/466-lait-demaquillant-doux-a-l-hamamelis.html;http://www.lilibio.com/img/p/466-586-large.jpg;5.9;0;1 jour;0;;0.00;Weleda;3596209532604;;EUR;0;0;
